"Council","InstitutionID","InstitutionName","CollectionAlias","Pageviews"
"Southeastern New York Library Resources Council","SENYLRC047","Tuxedo Park Library","tpl",3699
"Southeastern New York Library Resources Council","SENYLRC048","Nyack Library","nyacklib",4209
"Southeastern New York Library Resources Council","SENYLRC049","Putnam County NY History Collections","pchc",1876
"Southeastern New York Library Resources Council","SENYLRC050","Greene County Libraries Association","gcla",828
"Southeastern New York Library Resources Council","SENYLRC051","Franklin D. Roosevelt Library","fdr",409
"Southeastern New York Library Resources Council","SENYLRC052","Trinity-Pawling School - Gardiner Library and Learning Commons","tps",22
"Southeastern New York Library Resources Council","SENYLRC053","Orange County Community College - Library","occc",264
"Southeastern New York Library Resources Council","SENYLRC054","Ulster County Historical Society","uchs",320
"Southeastern New York Library Resources Council","SENYLRC056","Historical Society of Rockland County","hsrc",3069
"Southeastern New York Library Resources Council","SENYLRC057","Rhinebeck Historical Society","rhs",236
"Southeastern New York Library Resources Council","SENYLRC058","Ulster County Community College - Macdonald DeWitt Library","uccc",101
"Southeastern New York Library Resources Council","SENYLRC059","Reher Center for Immigrant Culture and History","rcich",24
"Southeastern New York Library Resources Council","SENYLRC060","Saugerties Public Library","spl",171
"Southeastern New York Library Resources Council","SENYLRC061","Locust Grove Estate","locustgrove",167
"Southeastern New York Library Resources Council","SENYLRC062","Stone Ridge Public Library","srl",51
"Southeastern New York Library Resources Council","SENYLRC063","Somers Historical Society","shs",147
"Southeastern New York Library Resources Council","SENYLRC064","Orangetown Historical Museum & Archives","orangetown",23
"Southeastern New York Library Resources Council","SENYLRC065","Culinary Institute of America - Archives and Special Collections","cia",604
"Southeastern New York Library Resources Council","SENYLRC066","Roosevelt-Vanderbilt Historical Association","rvha",110
"Southeastern New York Library Resources Council","SENYLRC067","Senate House Historic Site","senatehouse",30
"Southeastern New York Library Resources Council","SENYLRC068","Plattekill Historical Society","phs",133
"Southeastern New York Library Resources Council","SENYLRC069","Sound & Story Project of the Hudson Valley","ssphv",6
"Southeastern New York Library Resources Council","SENYLRC070","Albert Wisner Public Library","hsw",72
"Southeastern New York Library Resources Council","SENYLRC071","Hudson Valley Visual Art Collections Consortium","hvvacc",78
"Southeastern New York Library Resources Council","SENYLRC072","New Paltz Town Records","nptr",138
"Southeastern New York Library Resources Council","SENYLRC073","Staatsburg Library","p16694coll124",3762
"Southeastern New York Library Resources Council","SENYLRC074","Columbia-Greene Community College - Library & Media Services","p16694coll121",2238
